datetimePST,stage_ft,stage_m,Ivel_ft.s,Avel_ft.s,Discharge_cfs,StageCorrToUSGS,Overtopping_CDECDatum33.5ft,Overtopping_USGSSurvey32.3ft,Overtopping_ProposedCDECCorr33.5ft
1/22/2016 9:45,30.4,9.265919704,3.44,3.32,26341.36,28.45,0,0,0
1/22/2016 10:00,30.42,9.272015703,3.42,3.31,26257.46,28.47,0,0,0
1/22/2016 10:15,30.42,9.272015703,3.43,3.32,26321.49,28.47,0,0,0
1/22/2016 10:30,30.43,9.275063703,3.44,3.32,26366.93,28.48,0,0,0
1/22/2016 10:45,30.43,9.275063703,3.46,3.34,26463.06,28.48,0,0,0
1/22/2016 11:00,30.43,9.275063703,3.46,3.33,26454.76,28.48,0,0,0
1/22/2016 11:15,30.44,9.278111703,3.45,3.33,26427.7,28.49,0,0,0
1/22/2016 11:30,30.44,9.278111703,3.45,3.33,26418.34,28.49,0,0,0
1/22/2016 11:45,30.44,9.278111703,3.28,3.23,25661.87,28.49,0,0,0
1/22/2016 12:00,30.44,9.278111703,3.17,3.17,25136.99,28.49,0,0,0
1/22/2016 12:15,30.44,9.278111703,3.1,3.13,24819.58,28.49,0,0,0
1/22/2016 12:30,30.44,9.278111703,3.16,3.16,25084.57,28.49,0,0,0
1/22/2016 12:45,30.45,9.281159703,3.16,3.16,25074.66,28.5,0,0,0
1/22/2016 13:00,30.46,9.284207703,3.12,3.14,24904.68,28.51,0,0,0
1/22/2016 13:15,30.46,9.284207703,3.36,3.28,26059.9,28.51,0,0,0
1/22/2016 13:30,30.46,9.284207703,3.39,3.3,26193.3,28.51,0,0,0
1/22/2016 13:45,30.47,9.287255703,3.27,3.22,25610.46,28.52,0,0,0
1/22/2016 14:00,30.45,9.281159703,3.31,3.25,25786.84,28.5,0,0,0
1/22/2016 14:15,30.45,9.281159703,3.26,3.22,25541.14,28.5,0,0,0
1/22/2016 14:30,30.44,9.278111703,3.4,3.3,26196.86,28.49,0,0,0
1/22/2016 14:45,30.44,9.278111703,3.37,3.28,26063.18,28.49,0,0,0
1/22/2016 15:00,30.44,9.278111703,3.23,3.2,25427.69,28.49,0,0,0
1/22/2016 15:15,30.44,9.278111703,3.24,3.21,25449.6,28.49,0,0,0
1/22/2016 15:30,30.45,9.281159703,3.24,3.21,25474.46,28.5,0,0,0
1/22/2016 15:45,30.45,9.281159703,3.19,3.18,25245.54,28.5,0,0,0
1/22/2016 16:00,30.45,9.281159703,3.24,3.21,25490.9,28.5,0,0,0
1/22/2016 16:15,30.46,9.284207703,3.17,3.17,25148.31,28.51,0,0,0
1/22/2016 16:30,30.46,9.284207703,3.17,3.17,25152.07,28.51,0,0,0
1/22/2016 16:45,30.45,9.281159703,3.23,3.2,25446.26,28.5,0,0,0
1/22/2016 17:00,30.46,9.284207703,3.36,3.28,26014.52,28.51,0,0,0
1/22/2016 17:15,30.46,9.284207703,3.25,3.22,25542.55,28.51,0,0,0
1/22/2016 17:30,30.45,9.281159703,3.22,3.2,25385.59,28.5,0,0,0
1/22/2016 17:45,30.45,9.281159703,3.3,3.24,25746.91,28.5,0,0,0
1/22/2016 18:00,30.46,9.284207703,3.26,3.22,25559.6,28.51,0,0,0
1/22/2016 18:15,30.45,9.281159703,3.28,3.23,25664.53,28.5,0,0,0
1/22/2016 18:30,30.45,9.281159703,3.42,3.31,26296.65,28.5,0,0,0
1/22/2016 18:45,30.45,9.281159703,3.26,3.22,25537.61,28.5,0,0,0
1/22/2016 19:00,30.44,9.278111703,3.29,3.24,25709.39,28.49,0,0,0
1/22/2016 19:15,30.43,9.275063703,3.29,3.24,25702.65,28.48,0,0,0
1/22/2016 19:30,30.43,9.275063703,3.26,3.22,25549.14,28.48,0,0,0
1/22/2016 19:45,30.43,9.275063703,3.32,3.26,25840.95,28.48,0,0,0
1/22/2016 20:00,30.42,9.272015703,3.2,3.18,25244.81,28.47,0,0,0
1/22/2016 20:15,30.42,9.272015703,3.2,3.19,25271.56,28.47,0,0,0
1/22/2016 20:30,30.41,9.268967703,3.32,3.26,25816.33,28.46,0,0,0
1/22/2016 20:45,30.41,9.268967703,3.32,3.26,25819.03,28.46,0,0,0
1/22/2016 21:00,30.41,9.268967703,3.31,3.25,25752.88,28.46,0,0,0
1/22/2016 21:15,30.4,9.265919704,3.35,3.27,25919.96,28.45,0,0,0
1/22/2016 21:30,30.39,9.262871704,3.23,3.2,25378.15,28.44,0,0,0
1/22/2016 21:45,30.39,9.262871704,3.41,3.31,26202.18,28.44,0,0,0
1/22/2016 22:00,30.38,9.259823704,3.36,3.28,25946.62,28.43,0,0,0
1/22/2016 22:15,30.37,9.256775704,3.24,3.21,25399.42,28.42,0,0,0
1/22/2016 22:30,30.36,9.253727704,3.4,3.3,26106.93,28.41,0,0,0
1/22/2016 22:45,30.35,9.250679704,3.27,3.23,25511.82,28.4,0,0,0
1/22/2016 23:00,30.34,9.247631704,3.31,3.25,25659.95,28.39,0,0,0
1/22/2016 23:15,30.34,9.247631704,3.25,3.21,25391.12,28.39,0,0,0
1/22/2016 23:30,30.34,9.247631704,3.02,3.08,24324.32,28.39,0,0,0
1/22/2016 23:45,30.33,9.244583704,2.99,3.06,24172.12,28.38,0,0,0
1/23/2016 0:00,30.33,9.244583704,3.08,3.12,24623.6,28.38,0,0,0
1/23/2016 0:15,30.34,9.247631704,2.99,3.06,24185.74,28.39,0,0,0
1/23/2016 0:30,30.33,9.244583704,3.07,3.11,24575.37,28.38,0,0,0
1/23/2016 0:45,30.32,9.241535704,3.1,3.13,24688.65,28.37,0,0,0
1/23/2016 1:00,30.31,9.238487704,3.07,3.11,24543.76,28.36,0,0,0
1/23/2016 1:15,30.3,9.235439705,3.09,3.12,24624.35,28.35,0,0,0
1/23/2016 1:30,30.3,9.235439705,3.17,3.17,25001.88,28.35,0,0,0
1/23/2016 1:45,30.29,9.232391705,3.15,3.15,24865,28.34,0,0,0
1/23/2016 2:00,30.28,9.229343705,3.14,3.15,24822.79,28.33,0,0,0
1/23/2016 2:15,30.27,9.226295705,3.08,3.11,24519.67,28.32,0,0,0
1/23/2016 2:30,30.26,9.223247705,3.07,3.11,24490.47,28.31,0,0,0
1/23/2016 2:45,30.25,9.220199705,2.98,3.06,24076.8,28.3,0,0,0
1/23/2016 3:00,30.24,9.217151705,3.09,3.12,24577.91,28.29,0,0,0
