datePST,timePST,stage_ft
20160119,2300,28.94
20160119,2315,29.26
20160119,2330,29.03
20160119,2345,29
20160120,0,28.96
20160120,15,30.15
20160120,30,29.01
20160120,45,29.11
20160120,100,29.02
20160120,115,29.06
20160120,130,29.03
20160120,145,29.11
20160120,200,29.13
20160120,215,29.14
20160120,230,29.09
20160120,245,29.17
20160120,300,29.12
20160120,315,29.13
20160120,330,29.14
20160120,345,29.17
20160120,400,29.16
20160120,415,29.14
20160120,430,29.32
20160120,445,29.83
20160120,500,29.78
20160120,515,29.25
20160120,530,29.24
20160120,545,29.28
20160120,600,29.25
20160120,615,29.22
20160120,630,29.27
20160120,645,29.32
20160120,700,29.27
20160120,715,29.29
20160120,730,29.35
20160120,745,29.36
20160120,800,29.44
20160120,815,29.65
20160120,830,29.45
20160120,845,29.38
20160120,900,29.37
20160120,915,29.43
20160120,930,29.45
20160120,945,29.43
20160120,1000,29.49
20160120,1015,29.49
20160120,1030,29.61
20160120,1045,29.47
20160120,1100,29.55
20160120,1115,29.56
20160120,1130,29.64
20160120,1145,29.7
20160120,1200,29.69
20160120,1215,30.36
20160120,1230,29.93
20160120,1245,29.85
20160120,1300,29.79
20160120,1315,29.77
20160120,1330,29.86
20160120,1345,29.85
20160120,1400,29.84
20160120,1415,29.81
20160120,1430,29.99
20160120,1445,29.87
20160120,1500,30.03
20160120,1515,30.16
20160120,1530,29.91
20160120,1545,30.02
20160120,1600,29.92
20160120,1615,29.98
20160120,1630,29.84
20160120,1645,29.91
20160120,1700,29.87
20160120,1715,30.27
20160120,1730,29.97
20160120,1745,30.02
20160120,1800,29.94
20160120,1815,30.02
20160120,1830,30.07
20160120,1845,30.01
20160120,1900,30.05
20160120,1915,30.23
20160120,1930,30.05
20160120,1945,30.1
20160120,2000,30.14
20160120,2015,30.08
20160120,2030,30.2
20160120,2045,30.18
20160120,2100,30.1
20160120,2115,30.17
20160120,2130,30.55
20160120,2145,30.27
20160120,2200,30.18
20160120,2215,30.8
20160120,2230,30.37
20160120,2245,30.24
20160120,2300,30.45
20160120,2315,30.25
20160120,2330,30.33
20160120,2345,30.73
20160121,0,30.6
20160121,15,30.34
20160121,30,30.53
20160121,45,30.38
20160121,100,30.4
20160121,115,30.57
20160121,130,30.41
20160121,145,30.66
20160121,200,30.58
20160121,215,30.63
20160121,230,30.54
20160121,245,30.64
20160121,300,30.84
20160121,315,30.94
20160121,330,30.88
20160121,345,30.95
20160121,400,30.62
20160121,415,30.7
20160121,430,30.92
20160121,445,30.73
20160121,500,30.85
20160121,515,30.87
20160121,530,30.82
20160121,545,30.79
20160121,600,30.78
20160121,615,30.86
20160121,630,30.97
20160121,645,31.06
20160121,700,31.01
20160121,715,30.86
20160121,730,30.89
20160121,745,30.92
20160121,800,30.9
20160121,815,30.96
20160121,930,31.2
20160121,945,31.09
20160121,1000,31.01
20160121,1015,30.99
20160121,1030,31.03
20160121,1045,30.99
20160121,1100,31.08
20160121,1115,31.04
20160121,1130,31.09
20160121,1145,31.09
20160121,1200,31.17
20160121,1215,31.28
20160121,1230,31.14
20160121,1245,31.14
20160121,1300,31.18
20160121,1315,31.2
20160121,1330,31.2
20160121,1345,31.27
20160121,1400,31.3
20160121,1415,31.34
20160121,1430,31.28
20160121,1445,31.29
20160121,1500,31.34
20160121,1515,31.31
20160121,1530,31.29
20160121,1545,31.32
20160121,1600,31.29
20160121,1615,31.39
20160121,1630,31.37
20160121,1645,31.37
20160121,1700,31.77
20160121,1715,31.45
20160121,1730,31.43
20160121,1745,31.53
20160121,1800,31.5
20160121,1815,31.42
20160121,1830,31.47
20160121,1845,31.55
20160121,1900,31.41
20160121,1915,31.64
20160121,1930,31.75
20160121,1945,31.62
20160121,2000,31.69
20160121,2015,31.64
20160121,2030,31.78
20160121,2045,31.74
20160121,2100,32.17
20160121,2115,31.9
20160121,2130,31.83
20160121,2145,31.73
20160121,2200,32.44
20160121,2215,32.08
20160121,2230,32
20160121,2245,32.06
20160121,2300,31.76
20160121,2315,32.06
20160121,2330,31.97
20160121,2345,31.85
20160122,0,32.08
20160122,15,32.04
20160122,30,31.97
20160122,45,32.27
20160122,100,31.86
20160122,115,31.97
20160122,130,31.97
20160122,145,31.85
20160122,200,32.02
20160122,215,32.43
20160122,230,32.01
20160122,245,31.96
20160122,300,31.81
20160122,315,32
20160122,330,32.12
20160122,345,31.95
20160122,400,32.14
20160122,415,31.9
20160122,430,31.89
20160122,445,31.93
20160122,500,32.08
20160122,515,32.1
20160122,530,31.97
20160122,545,32.07
20160122,600,32.13
20160122,615,31.94
20160122,630,31.95
20160122,645,32.11
20160122,700,32.5
20160122,715,31.93
20160122,730,32.05
20160122,745,32.01
20160122,800,32.05
20160122,815,32.04
20160122,830,32.2
20160122,845,32.07
20160122,900,32.16
20160122,915,32.03
20160122,930,32.32
20160122,945,32.06
20160122,1000,32.18
20160122,1015,32.22
20160122,1030,32.14
20160122,1045,32.18
20160122,1100,32.1
20160122,1115,32.08
20160122,1130,32.2
20160122,1145,32.11
20160122,1200,32.07
20160122,1215,32.09
20160122,1230,32.06
20160122,1245,32.12
20160122,1300,32.05
20160122,1315,32.1
20160122,1330,32.03
20160122,1345,32.03
20160122,1400,32.07
20160122,1415,32.15
20160122,1430,32.07
20160122,1445,32.16
20160122,1500,32.1
20160122,1515,32.18
20160122,1530,32.19
20160122,1545,32.11
20160122,1600,32.37
20160122,1615,32.16
20160122,1630,32.07
20160122,1645,32.06
20160122,1700,32.08
20160122,1715,32.06
20160122,1730,32.15
20160122,1745,32.04
20160122,1800,32.04
20160122,1815,32.15
20160122,1830,32.16
20160122,1845,32.15
20160122,1900,32.05
20160122,1915,32.21
20160122,1930,32.04
20160122,1945,32.07
20160122,2000,32.09
20160122,2015,32.04
20160122,2030,31.98
20160122,2045,32.03
20160122,2100,32.05
20160122,2115,32.02
20160122,2130,32
20160122,2145,32.07
20160122,2200,31.99
20160122,2215,32.1
20160122,2230,32.01
20160122,2245,32.03
20160122,2300,32.06
20160122,2315,32
20160122,2330,32.03
20160122,2345,32.03
20160123,0,31.99
20160123,15,32.03
20160123,30,31.99
20160123,45,32
20160123,100,31.9
20160123,115,31.98
20160123,130,32.1
20160123,145,31.96
20160123,200,31.93
20160123,215,31.87
20160123,230,31.9
20160123,245,31.85
20160123,300,31.84
20160123,315,31.88
20160123,330,31.86
20160123,345,31.87
20160123,400,31.87
20160123,415,31.86
20160123,430,31.89
20160123,445,31.81
20160123,500,31.81
20160123,515,31.81
20160123,530,31.78
20160123,545,31.73
20160123,600,31.71
20160123,615,31.73
20160123,630,31.75
20160123,645,31.71
20160123,700,31.73
20160123,715,31.65
20160123,730,31.76
20160123,745,31.7
20160123,800,31.7
20160123,815,31.71
20160123,830,31.6
20160123,845,31.61
20160123,900,31.64
20160123,915,31.62
20160123,930,31.63
20160123,945,31.57
20160123,1000,31.6
20160123,1015,31.59
20160123,1030,31.78
20160123,1045,31.59
20160123,1100,31.56
20160123,1115,31.67
20160123,1130,31.68
20160123,1145,31.67
20160123,1200,31.65
20160123,1215,31.69
20160123,1230,31.68
20160123,1245,31.68
20160123,1300,31.69
20160123,1315,31.81
20160123,1330,31.73
20160123,1345,31.82
20160123,1400,31.68
20160123,1415,31.82
20160123,1430,31.82
20160123,1445,31.72
20160123,1500,31.79
20160123,1515,31.82
20160123,1530,31.78
20160123,1545,31.83
20160123,1600,31.92
20160123,1615,31.82
20160123,1630,31.88
20160123,1645,31.83
20160123,1700,31.77
20160123,1715,31.68
20160123,1730,31.62
20160123,1745,31.67
20160123,1800,31.57
20160123,1815,31.67
20160123,1830,31.65
20160123,1845,31.75
20160123,1900,31.75
20160123,1915,31.61
20160123,1930,31.7
20160123,1945,31.77
20160123,2000,31.72
20160123,2015,31.73
20160123,2030,31.63
20160123,2045,31.65
20160123,2100,31.57
20160123,2115,31.75
20160123,2130,31.84
20160123,2145,31.55
20160123,2200,31.61
20160123,2215,31.55
20160123,2230,31.69
20160123,2245,31.63
20160123,2300,31.68
20160123,2315,31.68
20160123,2330,31.55
20160123,2345,31.59
20160124,0,31.72
20160124,15,31.66
20160124,30,31.7
20160124,45,31.82
20160124,100,31.85
20160124,115,31.87
20160124,130,31.8
20160124,145,31.93
20160124,200,31.8
20160124,215,31.91
20160124,230,31.77
20160124,245,31.71
20160124,300,31.54
20160124,315,31.53
20160124,330,31.51
20160124,345,31.61
20160124,400,31.62
20160124,415,31.54
20160124,430,31.57
20160124,445,31.62
20160124,500,31.61
20160124,515,31.58
20160124,530,31.56
20160124,545,31.52
20160124,600,31.53
20160124,615,31.49
20160124,630,31.57
20160124,645,31.5
20160124,700,31.56
20160124,715,31.45
20160124,730,31.58
20160124,745,31.55
20160124,800,31.47
20160124,815,31.43
20160124,830,31.5
20160124,845,31.53
20160124,900,31.47
20160124,915,31.5
20160124,930,31.51
20160124,945,31.56
20160124,1000,31.44
20160124,1015,31.52
20160124,1030,31.55
20160124,1045,31.46
20160124,1100,31.48
20160124,1115,31.42
20160124,1130,31.39
20160124,1145,31.44
20160124,1200,31.35
20160124,1215,31.37
20160124,1230,31.3
20160124,1245,31.32
20160124,1300,31.32
20160124,1315,31.27
20160124,1330,31.25
20160124,1345,31.3
20160124,1400,31.3
20160124,1415,31.24
20160124,1430,31.28
20160124,1445,31.32
20160124,1500,31.32
20160124,1515,31.29
20160124,1530,31.33
20160124,1545,31.33
20160124,1600,31.32
20160124,1615,31.32
20160124,1630,31.36
20160124,1645,31.34
20160124,1700,31.28
20160124,1715,31.28
20160124,1730,31.3
20160124,1745,31.25
20160124,1800,31.35
20160124,1815,31.36
20160124,1830,31.3
20160124,1845,31.36
20160124,1900,31.31
20160124,1915,31.29
20160124,1930,31.33
20160124,1945,31.3
20160124,2000,31.28
20160124,2015,31.29
20160124,2030,31.27
20160124,2045,31.27
20160124,2100,31.28
20160124,2115,31.31
20160124,2130,31.31
20160124,2145,31.27
20160124,2200,31.34
20160124,2215,31.28
20160124,2230,31.29
20160124,2245,31.22
20160124,2300,31.3
20160124,2315,31.22
20160124,2330,31.25
20160124,2345,31.26
20160125,0,31.27
20160125,15,31.27
20160125,30,31.21
20160125,45,31.26
20160125,100,31.25
20160125,115,31.27
20160125,130,31.28
20160125,145,31.26
20160125,200,31.28
20160125,215,31.29
20160125,230,31.25
20160125,245,31.25
20160125,300,31.28
20160125,315,31.19
20160125,330,31.21
20160125,345,31.23
20160125,400,31.25
20160125,415,31.21
20160125,430,31.25
20160125,445,31.25
20160125,500,31.22
20160125,515,31.25
20160125,530,31.23
20160125,545,31.17
20160125,600,31.17
20160125,615,31.31
20160125,630,31.27
20160125,645,31.28
20160125,700,31.31
20160125,715,31.26
20160125,730,31.17
20160125,745,31.27
20160125,800,31.29
20160125,815,31.26
20160125,830,31.25
20160125,845,31.24
20160125,900,31.26
20160125,915,31.3
20160125,930,31.31
20160125,945,31.3
20160125,1000,31.34
20160125,1015,31.27
20160125,1030,31.23
20160125,1045,31.24
20160125,1100,31.26
20160125,1115,31.28
20160125,1130,31.32
20160125,1145,31.29
20160125,1200,31.6
20160125,1215,31.38
20160125,1230,31.48
20160125,1245,31.43
20160125,1300,31.45
20160125,1315,31.48
20160125,1330,31.33
20160125,1345,31.45
20160125,1400,31.4
20160125,1415,31.38
20160125,1430,31.43
20160125,1445,31.45
20160125,1500,31.39
20160125,1515,31.4
20160125,1530,31.42
20160125,1545,31.41
20160125,1600,31.45
20160125,1615,31.41
20160125,1630,31.43
20160125,1645,31.41
20160125,1700,31.4
20160125,1715,31.4
20160125,1730,31.34
20160125,1745,31.37
20160125,1800,31.34
20160125,1815,31.4
20160125,1830,31.4
20160125,1845,31.44
20160125,1900,31.41
20160125,1915,31.39
20160125,1930,31.4
20160125,1945,31.36
20160125,2000,31.32
20160125,2015,31.36
20160125,2030,31.37
20160125,2045,31.39
20160125,2100,31.38
20160125,2115,31.36
20160125,2130,31.28
20160125,2145,31.39
20160125,2200,31.32
20160125,2215,31.36
20160125,2230,31.29
20160125,2245,31.32
20160125,2300,31.39
20160125,2315,31.35
20160125,2330,31.36
20160125,2345,31.3
20160126,0,31.32
20160126,15,31.31
20160126,30,31.31
20160126,45,31.29
20160126,100,31.34
20160126,115,31.29
20160126,130,31.27
20160126,145,31.27
20160126,200,31.28
