id,RelEv,TagDate,RelSite,RelLoc,RelDate,RelTime,wtempC,weight,FL,AirTime,CanID
36439,2,2016-02-20,S1,TISDALE,2016-02-21,1049,11.4,13.5,108,2:34,8
36461,11,2016-03-10,T1,TISDALE,2016-03-11,9,11,14.3,111,1:49,3
36389,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,17.4,117,N/T,1
36470,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,18,120,1:45,13
36434,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,18.1,118,2:17,15
36519,3,2016-02-20,S1,TISDALE,2016-02-21,1658,13,18.5,119,2:06,10
39321,8,2016-03-05,S1,TISDALE,2016-03-06,2112,14.4,19.5,122,2:27,16
36450,2,2016-02-20,S1,TISDALE,2016-02-21,1039,11.4,20.3,124,2:14,5
36597,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,20.8,123,2:23,7
36408,17,2016-03-10,T3,TISDALE,2016-03-11,755,12.7,20.9,125,1:55,9
36476,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,21,123,1:48,7
36617,4,2016-02-20,S1,TISDALE,2016-02-21,2311,13,21.1,124,2:41,16
36605,3,2016-02-20,S1,TISDALE,2016-02-21,1658,13,21.3,126,N/T,10
38887,7,2016-03-05,S1,TISDALE,2016-03-06,1439,14.1,21.3,128,1:48,11
36581,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,21.5,127,2:01,6
36484,2,2016-02-20,S1,TISDALE,2016-02-21,1039,11.4,21.9,128,1:44,5
36739,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,22,124,2:08,6
38820,5,2016-03-05,S1,TISDALE,2016-03-06,311,14.1,22.2,125,1:41,3
36606,3,2016-02-20,S1,TISDALE,2016-02-21,1706,13,22.4,129,2:33,12
38847,6,2016-03-05,S1,TISDALE,2016-03-06,855,14.7,22.5,129,1:55,7
39576,31,2016-03-14,S1,TISDALE,2016-03-16,159,11.4,22.5,127,2:08,2
36424,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,22.6,132,1:58,11
38969,9,2016-03-10,T1,TISDALE,2016-03-11,3,11,22.6,129,1:54,1
36410,3,2016-02-20,S1,TISDALE,2016-02-21,1655,13,22.7,131,1:45,9
36629,4,2016-02-20,S1,TISDALE,2016-02-21,2305,13,23.2,127,2:29,14
36737,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,23.5,129,1:25,6
36676,2,2016-02-20,S1,TISDALE,2016-02-21,1049,11.4,23.5,129,1:14,8
36463,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,23.6,133,1:55,15
39346,7,2016-03-05,S1,TISDALE,2016-03-06,1441,14.1,23.7,136,1:41,12
36642,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,23.8,133,N/T,4
39096,53,2016-03-16,S1,TISDALE,2016-03-18,959,12.2,23.8,132,2:07,3
36394,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,23.9,133,2:12,3
36584,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,24,134,,6
36588,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,24,133,,6
39322,8,2016-03-05,S1,TISDALE,2016-03-06,2112,14.4,24,133,2:22,16
36360,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,24.3,132,1:47,3
39339,8,2016-03-05,S1,TISDALE,2016-03-06,2105,14.4,24.3,127,2:15,14
