"","id","TagDate","RelSite","RelLoc","RelDate","RelTime","wtempC","weight","FL","AirTime","CanID","RelEv"
"1",36186,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,48,163,"2:31",1,1
"2",36341,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,46.8,162,"2:35",1,1
"3",36342,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,27.2,139,"2:29",1,1
"4",36344,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,75.5,194,"2:10",1,1
"5",36345,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,34.8,152,"1:47",1,1
"6",36346,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,73,193,"1:58",1,1
"7",36347,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,43.7,159,"1:58",1,1
"8",36351,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,60,175,"1:44",12,1
"9",36352,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,50.4,166,"1:36",3,1
"10",36353,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,37.1,153,"",5,1
"11",36354,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,34.7,151,"1:32",3,1
"12",36355,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,58.1,177,"2:07",3,1
"13",36358,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,39.5,153,"1:31",3,1
"14",36359,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,54.9,168,"1:42",3,1
"15",36360,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,24.3,132,"1:47",3,1
"16",36361,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,58.5,175,"1:29",3,1
"17",36362,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,35.4,150,"1:40",9,1
"18",36364,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,50.7,166,"1:40",9,1
"19",36366,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,53.6,172,"1:50",9,1
"20",36367,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,35.8,148,"1:33",9,1
"21",36368,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,46,166,"N/T",9,1
"22",36369,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,38.4,152,"1:40",9,1
"23",36370,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,32.8,145,"1:39",9,1
"24",36371,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,40,155,"1:41",11,1
"25",36372,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,49.6,167,"1:42",11,1
"26",36374,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,34.9,150,"1:41",11,1
"27",36376,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,42.1,160,"1:32",11,1
"28",36377,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,34.1,147,"1:41",11,1
"29",36379,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,27.8,138,"1:50",11,1
"30",36380,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,25.9,133,"1:34",11,1
"31",36381,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,53,171,"2:28",1,1
"32",36382,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,27.6,133,"2:04",1,1
"33",36383,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,39.9,159,"3:08",1,1
"34",36384,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,44.3,160,"3:01",1,1
"35",36385,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,33.8,145,"2:28",1,1
"36",36387,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,49.7,169,"3:01",1,1
"37",36388,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,48.1,165,"2:45",1,1
"38",36389,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,17.4,117,"N/T",1,1
"39",36390,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,39.3,153,"2:06",3,1
"40",36391,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,39,158,"2:09",3,1
"41",36392,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,25.3,134,"1:45",3,1
"42",36393,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,74.6,187,"2:20",3,1
"43",36394,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,23.9,133,"2:12",3,1
"44",36395,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,52.9,169,"2:13",3,1
"45",36396,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,46.4,165,"1:52",3,1
"46",36397,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,34.8,151,"2:10",3,1
"47",36398,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,48.8,166,"N/T",9,1
"48",36400,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,82,193,"N/T",9,1
"49",36401,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,54.4,167,"1:48",9,1
"50",36403,"2016-03-05","S1","TISDALE","2016-03-06","1439",14.1,51.6,174,"1:38",11,2
"51",36405,"2016-03-10","T2","TISDALE","2016-03-11","402",11,57.5,175,"1:29",5,3
"52",36406,"2016-03-10","T2","TISDALE","2016-03-11","409",11,59,175,"1:22",7,3
"53",36407,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,60.8,179,"N/T",9,1
"54",36408,"2016-03-10","T3","TISDALE","2016-03-11","755",12.7,20.9,125,"1:55",9,3
